Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Носаченко,Альберт,Васильович,Чоловік,2003-09-17,Історик,хутір Корюківка,"парк Бузковий 2-й, буд. 01 кв. 771, Теплодар, 53314",527 65 65,valentyna16@example.org
Демʼяненко,Ілля,Миколайович,Чоловік,1945-10-14,Бухгалтер,місто Малин,"шосе Канатний, буд. 896 кв. 91, Боково-Хрустальне, 34612",019 983 16 37,abramchuknadiia@example.net
Пелех,Левко,Юрійович,Чоловік,1948-05-04,Сценарист,місто Бровари,"вулиця Рибальська, буд. 9, Андрушівка, 92553",034 358-88-68,avhustyndemianenko@example.net
Козаченко,Омелян,Юрійович,Чоловік,1964-12-25,Електротехнік,село Генічеськ,"сквер Красний, буд. 4, Приморськ, 53662",+380 (48) 875-13-86,ieroshenkoihor@example.com
Базилевський,Валентин,Григорович,Чоловік,1966-02-03,Журналіст,селище Дрогобич,"проспект Миколи Леонтовича, буд. 116, Пустомити, 09452",+380 39 003-07-51,datsiukliubov@example.com
Свистун,Ілля,Васильович,Чоловік,1952-03-15,Пекар,місто Южне,"шосе Госпітальєрів, буд. 65, Вугледар, 30474",180 91 03,alevtyn23@example.com
Верхола,Богуслав,Арсенійович,Чоловік,1988-06-27,Фольклорист,хутір Алушта,"проспект Гілельса, буд. 1, Бердичів, 42477",+380 58 105-78-23,ptovstukha@example.com
Рябошапка,Онисим,Васильович,Чоловік,1963-04-16,Живописець,село Сміла,"узвіз Студентський 3-й, буд. 16 кв. 2, Амвросіївка, 96495",005 631 60 91,sofiia10@example.org
Єресько,Онисим,Володимирович,Чоловік,1965-06-16,Епідеміолог,місто Херсон,"шосе 2-й Академічний тупик, буд. 0, Андрушівка, 15835",698-71-47,pavlogerega@example.com
Андріїшин,Хома,Сергійович,Чоловік,1940-10-10,Фермер,місто Петрово-Красносілля,"проспект Локомотивний 4-й, буд. 25 кв. 1, Каховка, 62316",040 310 68 03,romanetsvitalii@example.net
Бабак,Аркадій,Степанович,Чоловік,1945-06-23,Модель,село Кам'янка-Бузька,"шосе Тополина, буд. 405, Почаїв, 71627",+380 79 462 42 96,stefangalagan@example.com
Самойленко,Станіслав,Романович,Чоловік,1944-01-03,Менеджер,село Арциз,"набережна Юрія Олеші, буд. 1 кв. 28, Тлумач, 09075",060 228 40 97,bieromenko@example.org
Зубко,Лесь,Петрович,Чоловік,1972-05-31,Флорист,село Молочанськ,"провулок Олешківська, буд. 53 кв. 1, Благовіщенське, 36120",386-39-02,iurchenkoievhen@example.net
Яремчук,Пармен,Євгенович,Чоловік,1967-09-16,Водій,селище Сокологірськ,"узвіз Восьмого березня 2-й, буд. 7, Новий Розділ, 65191",822 21 61,parmensirko@example.com
Атрощенко,Дмитро,Васильович,Чоловік,1941-12-10,Музичний редактор,хутір Армянськ,"проспект Східчастий 3-й, буд. 143, Чорноморськ, 65040",808 62 60,okseniiaiashchenko@example.org
Демиденко,Євген,Андрійович,Чоловік,1952-06-01,Кушнір,місто Зміїв,"набережна Європейська, буд. 18, Шостка, 90079",656-02-23,anzhela35@example.net
Ґоляш,Аркадій,Тимофійович,Чоловік,1953-10-24,Електротехнік,місто Броди,"провулок Приморський, буд. 5, Кобеляки, 33146",+380 70 420 00 07,solomiialiashko@example.org
Швачко,Павло,Арсенійович,Чоловік,1976-12-05,Бізнесмен,село Долина,"набережна Керченський 2-й, буд. 44, Генічеськ, 46053",036 712 73 14,cmasliak@example.com
Кащенко,Макар,Максимович,Чоловік,1942-04-27,Художник,хутір Хуст,"проспект Олени Теліги, буд. 9, Дубляни, 98540",253 83 24,yiemelianenko@example.org
Микитюк,Єфрем,Тимофійович,Чоловік,1945-09-21,Слідчий,місто Ямпіль,"парк Манежний, буд. 28 кв. 035, Роздільна, 13459",+380 (71) 749-20-70,tymofiifilipenko@example.org
Голобородько,Альберт,Юрійович,Чоловік,1965-10-08,Локсмайстер,хутір Середина-Буда,"узвіз Запорізька, буд. 0 кв. 392, Запоріжжя, 98239",+380 98 773-46-95,hshelest@example.org
Тесленко,Амвросій,Андрійович,Чоловік,1991-04-10,Сценарист,хутір Біла Церква,"провулок Лінія 23-тя, буд. 746 кв. 3, Шахтарськ, 30951",021 051-56-94,venedyktbazavluchenko@example.com
Юрчук,Руслан,Петрович,Чоловік,1974-03-17,Фізик,село Болехів,"узвіз Грецька, буд. 35 кв. 07, Молочанськ, 25733",714-86-71,orysia45@example.net
Асаула,Спас,Миколайович,Чоловік,1966-07-12,Драматург,місто Городок,"вулиця Романтичний, буд. 7, Богодухів, 31194",039 811-23-90,larysa61@example.org
Савенко,Охрім,Максимович,Чоловік,1992-07-01,Кіноактор,місто Авдіївка,"сквер Дзвінка, буд. 00, Хотин, 44072",+380 52 185-02-88,darahanmarko@example.net
Піддубний,Герман,Олександрович,Чоловік,1990-03-23,Фармацевт,селище Заліщики,"провулок Церковна, буд. 42, Роздільна, 91232",038 067 57 52,irena18@example.com
Чуприна,Демид,Олександрович,Чоловік,1972-10-18,Електрик,село Довжанськ,"шосе Лінія 30-та, буд. 1 кв. 81, Докучаєвськ, 30505",004 725-61-64,davymukaavhustyn@example.com
Пелех,Антон,Степанович,Чоловік,1974-07-31,Зоолог,місто Новогродівка,"парк Чорноморський 13-й, буд. 88, Судова Вишня, 47925",+380 99 650-91-73,oles06@example.org
Чайка,Охрім,Васильович,Чоловік,1972-07-27,Фізик,село Тетіїв,"парк Князя Ярослава Мудрого, буд. 03 кв. 846, Пирятин, 34046",040 708 98 02,echumachenko@example.org
Устенко,Богдан,Євгенович,Чоловік,1961-05-13,Фольклорист,село Липовець,"сквер Трамвайна, буд. 10 кв. 6, Косів, 20708",078-61-16,mariana13@example.net
Тимченко,Гліб,Богданович,Чоловік,1972-08-24,Акушер,село Хуст,"площа Петра Калнишевського, буд. 6, Генічеськ, 49545",+380 72 089-79-12,opanas26@example.net
Демʼяненко,Симон,Петрович,Чоловік,1985-08-09,Сантехнік,село Новомиргород,"парк Локомотивна, буд. 40 кв. 453, Надвірна, 89690",555 19 89,korzhalla@example.com
Батіг,Гліб,Олександрович,Чоловік,1949-11-08,Режисер,місто Федорівка,"вулиця Неплія, буд. 469, Кропивницький, 50887",+380 68 062 85 00,ttelychenko@example.net
Ковпак,Павло,Тимофійович,Чоловік,2000-12-15,Юрист,село Броди,"проспект Ніли Крюкової, буд. 5, Щолкіне, 34279",039 294-56-31,ieremenkoerika@example.net
Кабаненко,Борис,Максимович,Чоловік,1975-10-20,Гірник,селище Суходільськ,"набережна Мазепи Івана, буд. 62 кв. 73, Лиман, 98001",001 198 96 79,ierchenkoavrelii@example.org
Гаврилів,Франц,Павлович,Чоловік,1944-01-26,Філолог,хутір Петрово-Красносілля,"вулиця Ігоря Бедзая, буд. 667, Славутич, 30947",+380 30 272 66 13,andrii38@example.net
Єрченко,Леонтій,Олександрович,Чоловік,2001-02-06,Науковець,місто Перемишляни,"сквер Іспанський, буд. 958, Деражня, 12699",053 366-34-35,vnehoda@example.com
Верес,Левко,Сергійович,Чоловік,1989-02-19,Ріелтор,хутір Глухів,"сквер Лодочний, буд. 9, Косів, 10708",+380 05 094-54-44,leonprymachenko@example.net
Шаблій,Віталій,Арсенійович,Чоловік,1971-09-29,Намотувальник,селище Кодима,"набережна Рєпіна, буд. 27, Соснівка, 93415",+380 (51) 160-64-08,vashchenko-zakharchenkoleopold@example.net
Деркач,Ярема,Петрович,Чоловік,2001-06-20,Дизайнер,селище Скалат,"провулок Пироговська, буд. 29 кв. 485, Рожище, 47591",074-28-02,gsirchenko@example.com
